[# ERROR | 2020-08-04 | 00:02:35.548 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.641 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.751 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.845 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.939 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:36.524 | PID=7080 | ThreadId=12872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:36.596 | PID=7080 | ThreadId=14284 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:36.699 | PID=7080 | ThreadId=14284 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:36.810 | PID=7080 | ThreadId=14284 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:36.904 | PID=7080 | ThreadId=14284 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:36.999 | PID=7080 | ThreadId=14284 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
